id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0kt9xGWGomC6OGFXkwLY5k,Lallati Bhandar,Ajay Gogavale,45,2013-08-03,0.748,0.65,6,-10.946,0,0.143,0.000627,0.0898,0.797,129.978,301493,4
5FjtI1VamgonPsylqnQWNZ,Aika Dajiba,Vaishali Samant,43,2002-12-28,0.676,0.722,6,-8.532,1,0.0625,0.0,0.731,0.928,113.877,285000,3
5MWLOVaXix2p4UtD3UpRen,"Kombdi Palali - From ""Jatra""",Vaishali Samant,40,2014-10-29,0.523,0.988,8,-3.053,0,0.617,8.33e-06,0.167,0.578,134.946,306465,3
1LsTEyQJEPORgTbNHATmGw,Wajle Ki Bara,Bela Shende,46,2010-01-01,0.712,0.785,8,-6.797,1,0.379,3.32e-06,0.0275,0.78,149.986,398080,4
2mpuk61zDHhBayMZVA2EUs,Deva Tujhya Gaabhaaryaalaa,Kirti Killedar,39,2014-04-22,0.646,0.696,3,-5.791,1,0.0422,0.0,0.0922,0.347,129.872,266000,4
0m4rI0cP4fe9fkjlpJVVlX,Radha Hi Bawari,Swapnil Bandodkar,41,2004-12-31,0.761,0.412,5,-15.67,1,0.375,0.0,0.0891,0.785,94.909,313188,4
4mC1aFCcqAgq6Nclzdg1fF,Cham Cham Karta,Vaishali Samant,43,2018-05-23,0.471,0.777,10,-6.878,0,0.653,0.00204,0.136,0.671,107.231,266019,3
1r6ASy42iNE0AIDvf1yR4I,Apsara Aali,Atul Gogavale,49,2010-01-01,0.726,0.602,1,-6.957,1,0.58,0.000319,0.0944,0.468,120.1,238106,4
2OU8KSNDoqW9PKVg7GZKsW,Lagnalu,Janardan Khandalkar,42,2017-08-06,0.719,0.862,8,-7.736,1,0.346,0.0,0.136,0.72,109.998,201360,4
7M587gUiVreE896xpUzQjR,Morya Morya,Ajay,41,2014-04-22,0.459,0.811,0,-9.823,1,0.0751,0.000151,0.328,0.0793,72.48,377173,4
5wfPEv3KcSjHbW7RaAidIw,Bring It On,Ajay Gogavale,41,2016-09-16,0.74,0.883,6,-4.855,0,0.0446,0.00146,0.105,0.689,120.007,274608,4
3Vmo13MxVRKBszmfK61ONH,Gangsta,YG,72,2022-05-10,0.791,0.687,1,-6.279,1,0.00665,2.12e-06,0.0986,0.513,130.154,190154,4
3JkVYvxNoGf2HCWJo61462,Never Fold (feat. Sunny Malton),Sunny Malton,71,2022-04-25,0.814,0.786,8,-5.178,0,0.069,0.0,0.0976,0.797,93.025,183226,4
2L1OXzqVPpVxotHfLglUcB,Chauffeur,Ikky,73,2022-04-14,0.639,0.767,6,-4.997,1,0.13,0.0,0.205,0.54,154.032,205040,4
1skGwRjc7wYY70PJCAkKMr,Love Sick (feat. AR Paisley),AR Paisley,66,2022-04-25,0.824,0.543,4,-8.667,0,0.101,0.0,0.178,0.548,124.018,232258,4
6vB79uYDAZHUX7DBaC1xyn,In Love Again,Harman Hundal,56,2021-02-19,0.733,0.507,7,-8.91,1,0.418,0.0,0.12,0.457,124.129,236129,4
4hAmLeBT1Ryk2oxSMMiJ7z,Oouuu,Karan Aujla,68,2022-05-10,0.779,0.693,8,-6.033,0,0.0832,0.0,0.0874,0.469,150.019,147200,4
1WOz8NwADXFxRADQFVftxp,Jawani,Arjan Dhillon,69,2022-03-28,0.782,0.69,7,-7.811,1,0.00909,0.000661,0.359,0.429,99.944,151219,4
6Ffl1BBRfr8I2ASR6iiRTe,Judge,Mankirt Aulakh,66,2022-02-04,0.66,0.721,11,-5.907,1,0.221,0.0,0.173,0.61,181.842,181395,4
77WhbR5wdwAu28rKDriGfN,"Darling - From ""Kokka""",Gurnam Bhullar,54,2022-05-09,0.741,0.663,3,-5.652,0,0.548,0.0,0.0902,0.895,81.877,216768,4
3BrGB98m5qPnaXQwYPjsDH,Chak Chak Chak,Shipra Goyal,59,2022-03-18,0.62,0.833,11,-1.957,1,0.212,0.0,0.119,0.341,137.772,149832,3
3UJ9TWvQth9inGhdjhDVlv,Trippin,JERRY,56,2022-04-25,0.818,0.553,10,-6.998,1,0.0582,0.0,0.125,0.65,82.0,164634,4
5pcmtf1lwrMqmAWWm248fY,DESIRES,Various Artists,75,2021-11-21,0.863,0.387,5,-10.057,0,0.365,0.00238,0.06,0.39,100.013,168000,4
5zUPoHkgqAr1XwTMNzNtGs,Fully Loaded,Manni Sandhu,63,2021-10-15,0.783,0.607,9,-7.268,0,0.091,0.0,0.0986,0.862,92.109,148859,4
1qbD2xTTBGif2ki4D5Po7P,Dream,Karan Aujla,63,2022-03-25,0.737,0.729,2,-5.702,1,0.141,0.0,0.354,0.644,81.863,215305,4
1w3exvIgbRFV2ijf6qyWm8,Everybody Hurts,Sidhu Moose Wala,67,2022-04-25,0.738,0.599,8,-7.102,1,0.434,0.0,0.13,0.575,120.052,173333,5
2nxQsbR0Cqy4MPI6vftwyX,Mandeer,Arjan Dhillon,62,2021-11-25,0.75,0.875,5,-3.279,0,0.239,0.0,0.315,0.674,91.919,190435,4
2WFfHu9sIOtM9ySp2PKaPw,Blame,San-B,61,2022-04-28,0.672,0.51,9,-10.164,0,0.0216,0.0,0.383,0.624,90.142,230057,4
0GnqC8ZVxrZPULa5EQGWbW,Jealousy (feat. Gurlez Akhtar),Gurlez Akhtar,64,2022-02-17,0.784,0.778,11,-3.4,0,0.0609,0.0,0.224,0.892,95.004,194019,4
4NtmlxfMrhLYHDV2EIyVcV,Bewafai Kar Gaya,B Praak,54,2022-03-25,0.657,0.878,3,-2.526,0,0.284,0.0,0.26,0.565,89.925,228000,4
7fGvRV4rnNEHJ02zUaoIRi,Season,Gurlez Akhtar,55,2022-02-01,0.675,0.685,4,-6.301,0,0.0768,0.0,0.128,0.637,171.941,215120,4
4roFMBSQp7W4fYVxKMmhA5,Junoon,Mitraz,64,2022-01-30,0.607,0.593,4,-7.982,0,0.2,0.0,0.0833,0.211,107.988,191111,4
3ubdbuynat3QLfKtdtJ5BH,Sift,Signature By Sb,63,2021-11-05,0.767,0.745,1,-6.144,1,0.45,0.0,0.281,0.448,97.076,118763,4
708ATCPhF2aagzUo8A9Dgo,Sunset,Ezu,49,2022-03-31,0.747,0.652,1,-5.247,0,0.277,0.0,0.0999,0.494,144.958,188683,4
1iZLpuGMr4tn1F5bZu32Kb,Bijlee Bijlee,Harrdy Sandhu,74,2021-10-30,0.795,0.67,1,-5.313,0,0.269,0.0,0.0733,0.643,100.004,168450,4
5eGsHi6RcL33gb9k89UYaB,Schedule,Manni Sandhu,69,2021-08-20,0.826,0.581,3,-6.425,0,0.518,2.49e-06,0.0703,0.787,92.434,148377,4
6SpLc7EXZIPpy0sVko0aoU,Misery Business,Paramore,74,2007-06-11,0.517,0.906,1,-3.677,1,0.00272,9.26e-06,0.113,0.731,172.977,211520,4
0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance",Fall Out Boy,74,2005-05-03,0.622,0.961,11,-3.198,0,0.00523,0.0,0.0854,0.449,114.452,180267,4
2ydUT1pFhuLDnouelIv4WH,The Rock Show,blink-182,68,2001,0.41,0.959,9,-4.563,1,0.000324,0.0,0.0766,0.83,193.155,171600,4
3u7EIgAlwNQtxkM4bOA7uI,In Too Deep,Sum 41,55,2001-04-24,0.509,0.812,9,-5.936,1,0.00084,0.0,0.062,0.649,116.078,206999,4
7lRlq939cDG4SzWOF4VAnd,I'm Not Okay (I Promise),My Chemical Romance,74,2004-06-08,0.21,0.94,9,-3.427,1,0.00602,0.0,0.269,0.255,179.722,186480,4
3ZsexY07D4t4HRq7ogeSAS,"Dear Maria, Count Me In",All Time Low,0,2008-07-29,0.465,0.896,2,-3.126,1,0.00725,0.0,0.206,0.569,181.014,182827,4
0wVluBsVAVzBKrqspuCcwR,"Check Yes, Juliet",We The Kings,69,2007-10-07,0.352,0.912,7,-4.253,1,0.00197,0.0,0.193,0.351,166.795,220147,4
1yjY7rpaAQvKwpdUliHx0d,Still into You,Paramore,78,2013-04-05,0.602,0.923,5,-3.763,1,0.0098,0.0,0.0561,0.765,136.01,216013,4
05qCCJQJiOwvPQBb7akf1R,Jamie All Over,Mayday Parade,65,2007-07-10,0.426,0.868,1,-3.702,1,6.54e-05,0.0,0.0723,0.402,149.042,216000,4
7j31rVgGX9Q2blT92VBEA0,Teenagers,My Chemical Romance,79,2006-10-23,0.463,0.857,4,-3.063,1,0.0506,0.0,0.184,0.856,111.647,161920,4
2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down",Fall Out Boy,76,2005-05-03,0.494,0.842,7,-4.784,1,0.00579,0.0,0.122,0.574,162.011,229093,4
6QBbhpArYK5cieGdGMcmYo,Tell Me I'm A Wreck,Every Avenue,0,2009-11-03,0.574,0.755,5,-2.248,1,0.00151,0.0,0.164,0.725,127.9,219973,4
3fXqDlChHYVt3LKnMluWio,Stupid For You,Waterparks,0,2016-11-02,0.581,0.922,1,-3.408,0,0.0235,0.0,0.202,0.595,118.409,191545,4
6dfwRetlyLPBoQzdufbOWj,Bite Me,Avril Lavigne,71,2022-02-25,0.491,0.792,8,-4.382,1,0.00381,0.0,0.359,0.74,169.997,159746,4
1Ztka7fCyxUv46FW1mZH9T,December (again) [feat. Mark Hoppus],Neck Deep,59,2016-07-18,0.403,0.953,5,-3.213,0,9.74e-05,0.0,0.0915,0.362,160.035,213035,4
0tyR7Bu9P086aWBFZ4QJoo,Monsters (feat. blackbear),blackbear,70,2020-04-03,0.369,0.845,0,-3.449,0,0.0493,0.0,0.416,0.782,78.532,174068,4
6GIrIt2M39wEGwjCQjGChX,The Great Escape,Boys Like Girls,61,2007-08-31,0.423,0.94,1,-4.012,0,0.00166,0.0,0.178,0.505,149.934,206520,4
